FX_63-137 
 1.00024     0.00113
 0.99110     0.00577
 0.97519     0.01263
 0.95649     0.01947
 0.93497     0.02633
 0.91091     0.03329
 0.88506     0.04032
 0.85818     0.04736
 0.83084     0.05433
 0.80338     0.06116
 0.77598     0.06780
 0.74870     0.07418
 0.72156     0.08027
 0.69456     0.08605
 0.66768     0.09146
 0.64090     0.09650
 0.61420     0.10115
 0.58757     0.10537
 0.56100     0.10916
 0.53449     0.11249
 0.50803     0.11536
 0.48162     0.11774
 0.45528     0.11963
 0.42901     0.12100
 0.40281     0.12185
 0.37672     0.12216
 0.35077     0.12192
 0.32499     0.12110
 0.29940     0.11969
 0.27406     0.11768
 0.24902     0.11503
 0.22432     0.11174
 0.20008     0.10779
 0.17640     0.10315
 0.15341     0.09783
 0.13122     0.09180
 0.11002     0.08511
 0.09018     0.07792
 0.07232     0.07056
 0.05704     0.06340
 0.04448     0.05661
 0.03437     0.05020
 0.02630     0.04413
 0.01986     0.03837
 0.01474     0.03294
 0.01066     0.02784
 0.00745     0.02310
 0.00494     0.01872
 0.00299     0.01464
 0.00155     0.01081
 0.00057     0.00729
 0.00006     0.00404
 0.00007     0.00091
 0.00075    -0.00218
 0.00237    -0.00506
 0.00494    -0.00755
 0.00829    -0.00956
 0.01236    -0.01126
 0.01719    -0.01281
 0.02296    -0.01428
 0.02999    -0.01574
 0.03869    -0.01719
 0.04971    -0.01863
 0.06382    -0.01999
 0.08172    -0.02117
 0.10344    -0.02208
 0.12802    -0.02266
 0.15417    -0.02288
 0.18100    -0.02272
 0.20811    -0.02219
 0.23529    -0.02130
 0.26246    -0.02004
 0.28966    -0.01840
 0.31696    -0.01639
 0.34447    -0.01403
 0.37225    -0.01136
 0.40031    -0.00844
 0.42866    -0.00531
 0.45727    -0.00205
 0.48608     0.00130
 0.51494     0.00466
 0.54365     0.00795
 0.57211     0.01111
 0.60032     0.01409
 0.62830     0.01686
 0.65607     0.01938
 0.68362     0.02159
 0.71093     0.02347
 0.73796     0.02497
 0.76468     0.02603
 0.79103     0.02662
 0.81692     0.02667
 0.84225     0.02613
 0.86690     0.02493
 0.89074     0.02303
 0.91359     0.02037
 0.93524     0.01693
 0.95541     0.01275
 0.97382     0.00790
 0.99015     0.00257
 0.99976    -0.00113
